          33   45.72851      -14.40067       57.51760              20
   1  45  -0.326
   2  45  -0.258
   1 104   0.743
   1   9  -0.279
   2   9  -0.365
   1  93   0.150
   1  38  -0.325
   2  38  -0.220
   1  52  -0.294
   1  44  -0.224
   2  44  -0.389
   1  50  -0.494
   2  50  -0.471
   1  47  -0.060
   2  47   0.191
   1 107   0.168
   1  39   0.176
   2  39   0.185
   1 102   0.528
   1  40   0.520
  dcur_p=  0.3296799      dcur_s=  0.2970514    
          34  -10.94231       21.13786       12.85427              12
   1  40   0.016
   2  40  -0.045
   1  39   0.003
   2  39  -0.032
   1  41  -0.039
   1  47  -0.106
   2  47  -0.167
   1  48  -0.057
   2  51   0.655
   1  44  -0.083
   2  44   0.041
   2  38  -0.133
  dcur_p=  5.0747555E-02  dcur_s=  0.1788874    
          35   39.54771      -58.12288      0.0000000E+00          18
   1  90   0.185
   1 104   0.009
   1  45  -0.049
   1  42   0.001
   2  42   0.355
   1  93   0.155
   1  52   0.104
   2  52   0.244
   1  38  -0.106
   2  38  -0.101
   1  48   0.037
   2  48   0.155
   1  44   0.172
   1  39  -0.222
   1 100   0.054
   1  50  -0.115
   1  40  -0.294
   1 107   0.073
  dcur_p=  0.1125764      dcur_s=  0.2133703    
          36  -10.87750       42.17218       52.60586              19
   1  51   0.017
   2  51   0.128
   1  40   0.072
   2  40  -0.138
   1 102  -0.466
   1  47   0.122
   1  50   0.024
   1  41   0.021
   2  41  -0.041
   1  44  -0.010
   2  44   0.017
   1  39   0.345
   2  39  -0.049
   1  48  -0.052
   2  48  -0.068
   1  52  -0.097
   2  52   0.100
   1  38  -0.024
   1  98   0.012
  dcur_p=  0.1053212      dcur_s=  7.7261515E-02
          37   37.07825      -11.06362       48.18604              28
   1  45  -0.424
   1 104   0.615
   2  45  -0.135
   1   9  -0.317
   2   9  -0.318
   1  38  -0.068
   2  38  -0.049
   1  52  -0.022
   2  52  -0.079
   1  44  -0.130
   1  48  -0.112
   1 100   0.241
   1  50  -0.319
   2  50  -0.317
   1  93   0.176
   1  47  -0.130
   2  47  -0.160
   1  39   0.132
   2  39   0.162
   1  51  -0.355
   1  40  -0.186
   1 102   0.470
   1  41  -0.094
   2  41  -0.105
   1 107  -0.038
   1  97  -0.123
   1  94   0.709
   1  98   0.780
  dcur_p=  0.2720401      dcur_s=  0.1655792    
          38   35.74298      -11.77764       48.35933              16
   1 104   0.590
   1  45  -0.397
   2  45  -0.283
   2   9  -0.390
   2  38  -0.004
   1  52   0.005
   2  52  -0.020
   1  48  -0.061
   2  48   0.095
   1 100   0.117
   1  93   0.042
   1  50  -0.167
   2  50  -0.243
   1 102   0.549
   2  41  -0.084
   1 107  -0.265
  dcur_p=  0.2436229      dcur_s=  0.1597712    
